Country,beverages,grains,eggs,fats,seafood,fruit,meat,dairy,legumes_and_nuts,tuber,sweets,vegetables,Income_level
Afghanistan,3,436.1,5,41.4,0.3,70.2,16,98.4,26.5,52.8,37.4,118.4,Low
Armenia,35,343.9,19.3,24.4,6.5,100.5,70.7,98,9.7,94.6,74.3,170.5,Low
Burkina Faso,134.4,296.1,0.9,12.7,8.2,24.8,8.5,11,37.9,12,17.4,63.3,Low
Chile,393.7,248.9,19.4,27.7,14.5,110,104.2,113.1,15.3,66,55.3,140.2,High
Cote D'Ivoire,70.3,206.3,4,12,23.6,53.8,33.3,9.2,12.7,144.2,12.2,70,Middle
Ethiopia ,22.8,350.8,2.4,15.7,0.5,21.1,9.4,33.3,54.2,93.7,13.4,79.6,Low
Malawi,66.7,368.4,4.7,13.3,8.6,38.2,13.9,7.4,44,99.3,22.9,147.9,Low
Mali,41.5,326.4,1.2,20.7,11.1,28.2,16.4,21.9,24.3,15.4,53.1,56.3,Low
Mexico,648.2,227.8,34.7,13,5.8,53.5,80.4,102.8,26.4,15.8,40,112.6,High
Niger,15.2,491.1,0.4,14.8,1.6,10.7,7.8,30.3,18.5,20.1,11.4,52.4,Low
Nigeria,255,227.8,4,21.9,24.6,86.3,14.6,7.1,44.5,274.8,8.6,84.9,Low
Pakistan,23.9,273,5.2,34.4,1.3,44.2,15.5,253.2,13.3,35,55.9,102.7,Low
Peru,83.1,259.5,26.4,18.1,31.5,164.6,85.9,73.1,30.6,174,51.9,150,Middle
Senegal,67.4,324.4,1.8,46.5,46.7,41.8,16.9,27.9,21.5,27.6,42,102.2,Low
Somalia,223.4,283.1,1.4,33,5.7,52.2,30.6,49.3,23.7,26.8,95.6,132,Low
Togo,110.4,220.8,1.6,17.2,22.2,34.8,11.5,4.1,28.2,107,8.9,73.9,Low
